criterion_id,area_of_concentration,subarea,description,pr_detectable
1,Area of Concentration,Staff Engineer,"facilitating, guiding, mentoring others in areas of work",true
2,Area of Concentration,Staff Engineer,"within team & with team's business stakeholders",true
3,Engineering Experience,Quality & testing,"Consistently writes production-ready code at a staff engineer level that is easily testable, easily understood by other developers, and accounts for edge cases and errors. Understands when it is appropriate to leave comments, but biases towards self-documenting code. Can work as a cross-functional team member and has been able to work on both back-end and front-end tickets.",true
4,Engineering Experience,Quality & testing,"Understands their team's testing approach, and uses quality metrics to identify gaps. Works with their team to recommend solutions that are in accordance with accepted testing frameworks and the testing pyramid. Mentors team on BDD best practices.",true
5,Engineering Experience,Debugging & observability,Proficient at using systematic debugging to diagnose all issues within the scope of their domain.,true
6,Engineering Experience,Debugging & observability,Drives monitoring work on their team based on the organization's monitoring philosophy. Is aware of the operational data for their team’s domain and uses it as a basis for driving changes to the team's services to achieve stability and performance improvements.,true
7,Engineering Experience,Software design & architecture,"Has expertise in their team's domain, including the breadth of services, how they interact, and data flows between systems. Understands adjacent domains as they affect their team.",true
8,Engineering Experience,Software design & architecture,"Architects services and systems using well accepted design patterns to allow for iterative, autonomous development and future scaling. Anticipates future use cases and makes design decisions that minimize the cost of future changes.",true
9,Engineering Experience,Security,"Actively works with the security team, as well as their own team, to refine their team's approach to security based on the organization's security strategy. Fosters a security first mindset within their own team, and leads by example.",true
10,Delivery,Incremental value delivery,"Reviews epics and projects critically and ensures they're appropriately broken down and prioritised, and well understood by the team.",true
11,Delivery,Incremental value delivery,"Ensures dependencies are noted and well understood by the team, at both the task and epic level. Works within their team to foster a culture of priority setting and urgency in alignment with organizational strategy.",true
12,Delivery,Incremental value delivery,"Effectively handles risk, change, and uncertainty within their team. Decides and acts responsibly in their work with their team without having the total picture during routine business, as well as when in high pressure situations.",true
13,Delivery,Self-organization,"Anticipates and communicates blockers, delays, and cost ballooning within their team’s projects, before they require escalation. Ensures expectations with their team and external stakeholders are clarified between all parties involved.",true
14,Delivery,Self-organization,"When taking action, weighs cost and value in order to take the most economic action. Uses this thinking in their own work, and to foster a culture within their team where people apply economic thinking to make timely decisions.",true
15,Communication,Feedback,Fosters a culture of delivering praise and constructive feedback within their team and team's respective business stakeholders. Actively demonstrates these behaviours.,true
16,Communication,Feedback,Works within their team and with its business stakeholders to foster a culture of seeking out feedback and using it as a tool for growth. Actively demonstrates these behaviours.,true
17,Communication,Communication,"Is able to communicate effectively with a diverse team. Fosters a culture of clear, concise, effective, audience-oriented communication on their team, ensuring teammates actively listen to others and are understood. Actively demonstrates these behaviours. Pays attention to nonverbal communication.",true
18,Communication,Communication,Fosters a culture of documentation and knowledge sharing within their team and with their team's business stakeholders; actively demonstrates these behaviors.,true
19,Communication,Collaboration,"Consistently helps their teammates overcome obstacles, resolve blockers, and complete work tasks. Gives or shares credit where due. Provides on-call support as determined and approved by Engineering Management.",true
20,Communication,Collaboration,"Works to build and improve strong relationships with their teammates, manager, their teams' relevant business stakeholders, and senior engineers across the organization. Leverages relationships to better plan for and position their team.",true
21,Communication,Collaboration,"Fosters a culture within their team where people are encouraged to share their opinions and contribute to discussions in a respectful manner, approach disagreement non-defensively with inquisitiveness, and use contradictory opinions as a basis for constructive, productive conversations. Is open to changing their perspective and plans based on others' input.",true
22,Influence and Initiative,Decision making,"Takes ownership of decisions made in their team by helping their teammates make clear decisions in alignment with organizational goals, backing decisions made, and taking responsibility for their success. Raises awareness for how biases impact decisions and ensures accountability is practiced within their team. Demonstrates these behaviours themselves.",true
23,Influence and Initiative,Driving alignment,Fosters a culture within their team of having conversations based on organizational strategy and principles to create alignment. Strongly oriented towards goals and ensures their team is continuously working towards their goals.,true
24,Influence and Initiative,Process thinking,Thinks about team practices and processes and regularly discusses improvements with their team. Sometimes collaborates with others to improve organizational practices and processes.,true
25,Influence and Initiative,Facilitation,"Facilitates discussions across teams, ensuring that everyone has an opportunity to share their opinion and be heard, and that discussion outcomes tie to stated goals. Ensures relevant parties are included in discussions. Guides discussions toward decisions, clarifies and gets buy-in.",true
26,Influence and Initiative,Mentoring,"Mentors their teammates in an open, respectful, flexible, empathetic manner. Seeks out mentoring opportunities specifically to create team redundancy and backfill ability. Mentors members of other teams as needed.",true
27,Business Impact,Business Acumen & Strategy,"Has a thorough understanding of their team's domain, strategy, and how it maps to overall market trends. Has a thorough understanding of adjacent teams' strategies and how they map to their team and interaction points.",true
28,Business Impact,Business Acumen & Strategy,"Collaborates and decides on their team's engineering work based on organization's engineering strategy, together with their teammates and senior engineers. Sometimes involved in work on organizational engineering strategy.",true
29,Business Impact,Business Acumen & Strategy,Evaluates and creates new product features in collaboration with the product team. Regularly participates in the creation of the team roadmap and ensuing feedback. Simplifies product and technical design through proactive conversations.,true
